Bien jurídico afectado;(Todas);;
Tipo de delito;(Todas);;
Subtipo de delito;(Todas);;
Modalidad;(Todas);;
;;;
Suma de Total;;;Etiquetas de columna
Chihuahua;8002;Aldama;138
Chihuahua;8003;Allende;28
Chihuahua;8004;Aquiles Serdán;32
Chihuahua;8005;Ascensión;133
Chihuahua;8006;Bachíniva;20
Chihuahua;8007;Balleza;36
Chihuahua;8008;Batopilas de Manuel Gómez Morín;3
Chihuahua;8009;Bocoyna;148
Chihuahua;8010;Buenaventura;67
Chihuahua;8011;Camargo;265
Chihuahua;8012;Carichí;9
Chihuahua;8013;Casas Grandes;62
Chihuahua;8014;Coronado;3
Chihuahua;8015;Coyame del Sotol;6
Chihuahua;8016;La Cruz;4
Chihuahua;8017;Cuauhtémoc;1641
Chihuahua;8018;Cusihuiriachi;25
Chihuahua;8019;Chihuahua;6452
Chihuahua;8020;Chínipas;11
Chihuahua;8021;Delicias;990
Chihuahua;8022;Dr. Belisario Domínguez;12
Chihuahua;8023;Galeana;28
Chihuahua;8024;Santa Isabel;22
Chihuahua;8025;Gómez Farías;18
Chihuahua;8026;Gran Morelos;9
Chihuahua;8027;Guachochi;188
Chihuahua;8028;Guadalupe;8
Chihuahua;8029;Guadalupe y Calvo;95
Chihuahua;8030;Guazapares;4
Chihuahua;8031;Guerrero;172
Chihuahua;8032;Hidalgo del Parral;946
Chihuahua;8033;Huejotitán;4
Chihuahua;8034;Ignacio Zaragoza;5
Chihuahua;8035;Janos;26
Chihuahua;8036;Jiménez;331
Chihuahua;8037;Juárez;9905
Chihuahua;8038;Julimes;12
Chihuahua;8039;López;10
Chihuahua;8040;Madera;96
Chihuahua;8041;Maguarichi;0
Chihuahua;8042;Manuel Benavides;0
Chihuahua;8043;Matachí;4
Chihuahua;8044;Matamoros;13
Chihuahua;8045;Meoqui;253
Chihuahua;8046;Morelos;4
Chihuahua;8047;Moris;10
Chihuahua;8048;Namiquipa;34
Chihuahua;8049;Nonoava;9
Chihuahua;8050;Nuevo Casas Grandes;548
Chihuahua;8051;Ocampo;21
Chihuahua;8052;Ojinaga;26
Chihuahua;8053;Praxedis G. Guerrero;9
Chihuahua;8054;Riva Palacio;10
Chihuahua;8055;Rosales;72
Chihuahua;8056;Valle del Rosario;1
Chihuahua;8057;San Francisco de Borja;14
Chihuahua;8058;San Francisco de Conchos;8
Chihuahua;8059;San Francisco del Oro;20
Chihuahua;8060;Santa Bárbara;72
Chihuahua;8061;Satevó;7
Chihuahua;8062;Saucillo;134
Chihuahua;8063;Temósachic;12
Chihuahua;8064;El Tule;0
Chihuahua;8065;Urique;34
Chihuahua;8066;Uruachi;5
Chihuahua;8067;Valle de Zaragoza;16
Chihuahua;8999;No especificado;0
Ciudad de México;9002;Azcapotzalco;2814
Ciudad de México;9003;Coyoacán;4770
Ciudad de México;9004;Cuajimalpa de Morelos;1267
Ciudad de México;9005;Gustavo A. Madero;6611
Ciudad de México;9006;Iztacalco;3068
Ciudad de México;9007;Iztapalapa;8860
Ciudad de México;9008;La Magdalena Contreras;1200
Ciudad de México;9009;Milpa Alta;832
Ciudad de México;9010;Álvaro Obregón;4210
Ciudad de México;9011;Tláhuac;1973
Ciudad de México;9012;Tlalpan;4191
Ciudad de México;9013;Xochimilco;2284
Ciudad de México;9014;Benito Juárez;5094
Ciudad de México;9015;Cuauhtémoc;9498
Ciudad de México;9016;Miguel Hidalgo;3960
Ciudad de México;9017;Venustiano Carranza;3523
Ciudad de México;9999;No especificado;2991
Coahuila de Zaragoza;5001;Abasolo;5
Coahuila de Zaragoza;5002;Acuña;1434
Coahuila de Zaragoza;5003;Allende;253
Coahuila de Zaragoza;5004;Arteaga;265
Coahuila de Zaragoza;5005;Candela;26
Coahuila de Zaragoza;5006;Castaños;160
Coahuila de Zaragoza;5007;Cuatro Ciénegas;101
Coahuila de Zaragoza;5008;Escobedo;10
Coahuila de Zaragoza;5009;Francisco I. Madero;614
Coahuila de Zaragoza;5010;Frontera;532
Coahuila de Zaragoza;5011;General Cepeda;58
Coahuila de Zaragoza;5012;Guerrero;2
Coahuila de Zaragoza;5013;Hidalgo;2
Coahuila de Zaragoza;5014;Jiménez;52
Coahuila de Zaragoza;5015;Juárez;24
Coahuila de Zaragoza;5016;Lamadrid;9
Coahuila de Zaragoza;5017;Matamoros;980
Coahuila de Zaragoza;5018;Monclova;1683
Coahuila de Zaragoza;5019;Morelos;50
Coahuila de Zaragoza;5020;Múzquiz;499
Coahuila de Zaragoza;5021;Nadadores;18
Coahuila de Zaragoza;5022;Nava;222
Coahuila de Zaragoza;5023;Ocampo;30
Coahuila de Zaragoza;5024;Parras;297
Coahuila de Zaragoza;5025;Piedras Negras;2190
Coahuila de Zaragoza;5026;Progreso;11
Coahuila de Zaragoza;5027;Ramos Arizpe;870
Coahuila de Zaragoza;5028;Sabinas;582
Coahuila de Zaragoza;5029;Sacramento;3
Coahuila de Zaragoza;5030;Saltillo;4858
Coahuila de Zaragoza;5031;San Buenaventura;75
Coahuila de Zaragoza;5032;San Juan de Sabinas;212
Coahuila de Zaragoza;5033;San Pedro;789
Coahuila de Zaragoza;5034;Sierra Mojada;2
Coahuila de Zaragoza;5035;Torreón;6107
Coahuila de Zaragoza;5036;Viesca;82
Coahuila de Zaragoza;5037;Villa Unión;18
Coahuila de Zaragoza;5038;Zaragoza;129
Coahuila de Zaragoza;5999;No especificado;0
Colima;6001;Armería;229
Colima;6002;Colima;2554
Colima;6003;Comala;184
Colima;6004;Coquimatlán;196
Colima;6005;Cuauhtémoc;158
Colima;6006;Ixtlahuacán;46
Colima;6007;Manzanillo;3007
Colima;6008;Minatitlán;88
Colima;6009;Tecomán;1021
Colima;6010;Villa de Álvarez;1504
Colima;6999;No especificado;0
Durango;10001;Canatlán;77
Durango;10002;Canelas;1
Durango;10003;Coneto de Comonfort;1
Durango;10004;Cuencamé;86
Durango;10005;Durango;3433
Durango;10006;General Simón Bolívar;7
Durango;10007;Gómez Palacio;956
Durango;10008;Guadalupe Victoria;175
Durango;10009;Guanaceví;5
Durango;10010;Hidalgo;4
Durango;10011;Indé;2
Durango;10012;Lerdo;313
Durango;10013;Mapimí;40
Durango;10014;Mezquital;43
Durango;10015;Nazas;14
Durango;10016;Nombre de Dios;62
Durango;10017;Ocampo;14
Durango;10018;El Oro;16
Durango;10019;Otáez;9
Durango;10020;Pánuco de Coronado;34
Durango;10021;Peñón Blanco;32
Durango;10022;Poanas;48
Durango;10023;Pueblo Nuevo;92
Durango;10024;Rodeo;39
Durango;10025;San Bernardo;8
Durango;10026;San Dimas;8
Durango;10027;San Juan de Guadalupe;1
Durango;10028;San Juan del Río;49
Durango;10029;San Luis del Cordero;17
Durango;10030;San Pedro del Gallo;0
Durango;10031;Santa Clara;4
Durango;10032;Santiago Papasquiaro;131
Durango;10033;Súchil;61
Durango;10034;Tamazula;8
Durango;10035;Tepehuanes;13
Durango;10036;Tlahualilo;24
Durango;10037;Topia;1
Durango;10038;Vicente Guerrero;94
Durango;10039;Nuevo Ideal;91
Durango;10999;No especificado;0
Guanajuato;11001;Abasolo;399
Guanajuato;11002;Acámbaro;740
Guanajuato;11003;San Miguel de Allende;2331
Guanajuato;11004;Apaseo el Alto;443
Guanajuato;11005;Apaseo el Grande;1126
Guanajuato;11006;Atarjea;24
Guanajuato;11007;Celaya;5807
Guanajuato;11008;Manuel Doblado;69
Guanajuato;11009;Comonfort;542
Guanajuato;11010;Coroneo;61
Guanajuato;11011;Cortazar;764
Guanajuato;11012;Cuerámaro;116
Guanajuato;11013;Doctor Mora;129
Guanajuato;11014;Dolores Hidalgo Cuna de la Independencia Nacional;1109
Guanajuato;11015;Guanajuato;2914
Guanajuato;11016;Huanímaro;65
Guanajuato;11017;Irapuato;6656
Guanajuato;11018;Jaral del Progreso;156
Guanajuato;11019;Jerécuaro;100
Guanajuato;11020;León;13347
Guanajuato;11021;Moroleón;290
Guanajuato;11022;Ocampo;208
Guanajuato;11023;Pénjamo;960
Guanajuato;11024;Pueblo Nuevo;57
Guanajuato;11025;Purísima del Rincón;498
Guanajuato;11026;Romita;282
Guanajuato;11027;Salamanca;2732
Guanajuato;11028;Salvatierra;871
Guanajuato;11029;San Diego de la Unión;145
Guanajuato;11030;San Felipe;649
Guanajuato;11031;San Francisco del Rincón;732
Guanajuato;11032;San José de Iturbide;645
Guanajuato;11033;San Luis de la Paz;789
Guanajuato;11034;Santa Catarina;48
Guanajuato;11035;Santa Cruz de Juventino Rosas;482
Guanajuato;11036;Santiago Maravatío;34
Guanajuato;11037;Silao de la Victoria;2293
Guanajuato;11038;Tarandacuao;117
Guanajuato;11039;Tarimoro;253
Guanajuato;11040;Tierra Blanca;84
Guanajuato;11041;Uriangato;391
Guanajuato;11042;Valle de Santiago;1025
Guanajuato;11043;Victoria;76
Guanajuato;11044;Villagrán;397
Guanajuato;11045;Xichú;31
Guanajuato;11046;Yuriria;382
Guanajuato;11999;No especificado;0
Guerrero;12001;Acapulco de Juárez;3080
Guerrero;12002;Ahuacuotzingo;9
Guerrero;12003;Ajuchitlán del Progreso;20
Guerrero;12004;Alcozauca de Guerrero;22
Guerrero;12005;Alpoyeca;9
Guerrero;12006;Apaxtla de Castrejón;6
Guerrero;12007;Arcelia;20
Guerrero;12008;Atenango del Río;9
Guerrero;12009;Atlamajalcingo del Monte;11
Guerrero;12010;Atlixtac;12
Guerrero;12011;Atoyac de Álvarez;95
Guerrero;12012;Ayutla de los Libres;74
Guerrero;12013;Azoyú;37
Guerrero;12014;Benito Juárez;22
Guerrero;12015;Buenavista de Cuéllar;16
Guerrero;12016;Coahuayutla de José María Izazaga;2
Guerrero;12017;Cocula;14
Guerrero;12018;Copala;32
Guerrero;12019;Copalillo;6
Guerrero;12020;Copanatoyac;11
Guerrero;12021;Coyuca de Benítez;129
Guerrero;12022;Coyuca de Catalán;28
Guerrero;12023;Cuajinicuilapa;45
Guerrero;12024;Cualác;5
Guerrero;12025;Cuautepec;13
Guerrero;12026;Cuetzala del Progreso;1
Guerrero;12027;Cutzamala de Pinzón;7
Guerrero;12028;Chilapa de Álvarez;40
Guerrero;12029;Chilpancingo de los Bravo;1401
Guerrero;12030;Florencio Villarreal;56
Guerrero;12031;General Canuto A. Neri;1
Guerrero;12032;General Heliodoro Castillo;0
Guerrero;12033;Huamuxtitlán;33
Guerrero;12034;Huitzuco de los Figueroa;67
Guerrero;12035;Iguala de la Independencia;548
Guerrero;12036;Igualapa;44
Guerrero;12037;Ixcateopan de Cuauhtémoc;4
Guerrero;12038;Zihuatanejo de Azueta;448
Guerrero;12039;Juan R. Escudero;50
Guerrero;12040;Leonardo Bravo;6
Guerrero;12041;Malinaltepec;23
Guerrero;12042;Mártir de Cuilapan;2
Guerrero;12043;Metlatónoc;35
Guerrero;12044;Mochitlán;3
Guerrero;12045;Olinalá;17
Guerrero;12046;Ometepec;319
Guerrero;12047;Pedro Ascencio Alquisiras;0
Guerrero;12048;Petatlán;55
Guerrero;12049;Pilcaya;8
Guerrero;12050;Pungarabato;62
Guerrero;12051;Quechultenango;10
Guerrero;12052;San Luis Acatlán;55
Guerrero;12053;San Marcos;72
Guerrero;12054;San Miguel Totolapan;4
Guerrero;12055;Taxco de Alarcón;306
Guerrero;12056;Tecoanapa;61
Guerrero;12057;Técpan de Galeana;125
Guerrero;12058;Teloloapan;85
Guerrero;12059;Tepecoacuilco de Trujano;46
Guerrero;12060;Tetipac;3
Guerrero;12061;Tixtla de Guerrero;85
Guerrero;12062;Tlacoachistlahuaca;31
Guerrero;12063;Tlacoapa;8
Guerrero;12064;Tlalchapa;4
Guerrero;12065;Tlalixtaquilla de Maldonado;2
Guerrero;12066;Tlapa de Comonfort;249
Guerrero;12067;Tlapehuala;6
Guerrero;12068;La Unión de Isidoro Montes de Oca;40
Guerrero;12069;Xalpatláhuac;8
Guerrero;12070;Xochihuehuetlán;8
Guerrero;12071;Xochistlahuaca;29
Guerrero;12072;Zapotitlán Tablas;8
Guerrero;12073;Zirándaro;2
Guerrero;12074;Zitlala;6
Guerrero;12075;Eduardo Neri;86
Guerrero;12076;Acatepec;6
Guerrero;12077;Marquelia;31
Guerrero;12078;Cochoapa el Grande;37
Guerrero;12079;José Joaquín de Herrera;4
Guerrero;12080;Juchitán;25
Guerrero;12081;Iliatenco;6
Guerrero;12082;Las Vigas;0
Guerrero;12083;Ñuu Savi;2
Guerrero;12084;Santa Cruz del Rincón;2
Guerrero;12085;San Nicolás;11
Guerrero;12999;No especificado;119
Hidalgo;13001;Acatlán;64
Hidalgo;13002;Acaxochitlán;118
Hidalgo;13003;Actopan;437
Hidalgo;13004;Agua Blanca de Iturbide;33
Hidalgo;13005;Ajacuba;54
Hidalgo;13006;Alfajayucan;58
Hidalgo;13007;Almoloya;72
Hidalgo;13008;Apan;341
Hidalgo;13009;El Arenal;70
Hidalgo;13010;Atitalaquia;199
Hidalgo;13011;Atlapexco;42
Hidalgo;13012;Atotonilco el Grande;204
Hidalgo;13013;Atotonilco de Tula;378
Hidalgo;13014;Calnali;30
Hidalgo;13015;Cardonal;38
Hidalgo;13016;Cuautepec de Hinojosa;192
Hidalgo;13017;Chapantongo;32
Hidalgo;13018;Chapulhuacán;32
Hidalgo;13019;Chilcuautla;56
Hidalgo;13020;Eloxochitlán;6
Hidalgo;13021;Emiliano Zapata;83
Hidalgo;13022;Epazoyucan;99
Hidalgo;13023;Francisco I. Madero;161
Hidalgo;13024;Huasca de Ocampo;98
Hidalgo;13025;Huautla;14
Hidalgo;13026;Huazalingo;18
Hidalgo;13027;Huehuetla;48
Hidalgo;13028;Huejutla de Reyes;334
Hidalgo;13029;Huichapan;181
Hidalgo;13030;Ixmiquilpan;579
Hidalgo;13031;Jacala de Ledezma;41
Hidalgo;13032;Jaltocán;15
Hidalgo;13033;Juárez Hidalgo;6
Hidalgo;13034;Lolotla;21
Hidalgo;13035;Metepec;53
Hidalgo;13036;San Agustín Metzquititlán;27
Hidalgo;13037;Metztitlán;87
Hidalgo;13038;Mineral del Chico;51
Hidalgo;13039;Mineral del Monte;91
Hidalgo;13040;La Misión;12
Hidalgo;13041;Mixquiahuala de Juárez;304
Hidalgo;13042;Molango de Escamilla;30
Hidalgo;13043;Nicolás Flores;5
Hidalgo;13044;Nopala de Villagrán;38
Hidalgo;13045;Omitlán de Juárez;40
Hidalgo;13046;San Felipe Orizatlán;67
Hidalgo;13047;Pacula;10
Hidalgo;13048;Pachuca de Soto;3414
Hidalgo;13049;Pisaflores;12
Hidalgo;13050;Progreso de Obregón;162
Hidalgo;13051;Mineral de la Reforma;1419
Hidalgo;13052;San Agustín Tlaxiaca;196
Hidalgo;13053;San Bartolo Tutotepec;50
Hidalgo;13054;San Salvador;159
Hidalgo;13055;Santiago de Anaya;51
Hidalgo;13056;Santiago Tulantepec de Lugo Guerrero;240
Hidalgo;13057;Singuilucan;124
Hidalgo;13058;Tasquillo;44
Hidalgo;13059;Tecozautla;71
Hidalgo;13060;Tenango de Doria;76
Hidalgo;13061;Tepeapulco;329
Hidalgo;13062;Tepehuacán de Guerrero;24
Hidalgo;13063;Tepeji del Río de Ocampo;591
Hidalgo;13064;Tepetitlán;36
Hidalgo;13065;Tetepango;31
Hidalgo;13066;Villa de Tezontepec;94
Hidalgo;13067;Tezontepec de Aldama;212
Hidalgo;13068;Tianguistengo;12
Hidalgo;13069;Tizayuca;1865
Hidalgo;13070;Tlahuelilpan;119
Hidalgo;13071;Tlahuiltepa;7
Hidalgo;13072;Tlanalapa;54
Hidalgo;13073;Tlanchinol;62
Hidalgo;13074;Tlaxcoapan;108
Hidalgo;13075;Tolcayuca;141
Hidalgo;13076;Tula de Allende;791
Hidalgo;13077;Tulancingo de Bravo;1381
Hidalgo;13078;Xochiatipan;16
Hidalgo;13079;Xochicoatlán;16
Hidalgo;13080;Yahualica;24
Hidalgo;13081;Zacualtipán de Ángeles;142
Hidalgo;13082;Zapotlán de Juárez;175
Hidalgo;13083;Zempoala;450
Hidalgo;13084;Zimapán;109
Hidalgo;13999;No especificado;1
Jalisco;14001;Acatic;45
Jalisco;14002;Acatlán de Juárez;78
Jalisco;14003;Ahualulco de Mercado;105
Jalisco;14004;Amacueca;21
Jalisco;14005;Amatitán;48
Jalisco;14006;Ameca;274
Jalisco;14007;San Juanito de Escobedo;12
Jalisco;14008;Arandas;231
Jalisco;14009;El Arenal;90
Jalisco;14010;Atemajac de Brizuela;19
Jalisco;14011;Atengo;3
Jalisco;14012;Atenguillo;11
Jalisco;14013;Atotonilco el Alto;126
Jalisco;14014;Atoyac;12
Jalisco;14015;Autlán de Navarro;314
Jalisco;14016;Ayotlán;45
Jalisco;14017;Ayutla;13
Jalisco;14018;La Barca;150
Jalisco;14019;Bolaños;16
Jalisco;14020;Cabo Corrientes;28
Jalisco;14021;Casimiro Castillo;47
Jalisco;14022;Cihuatlán;149
Jalisco;14023;Zapotlán el Grande;574
Jalisco;14024;Cocula;127
Jalisco;14025;Colotlán;124
Jalisco;14026;Concepción de Buenos Aires;7
Jalisco;14027;Cuautitlán de García Barragán;32
Jalisco;14028;Cuautla;3
Jalisco;14029;Cuquío;20
Jalisco;14030;Chapala;227
Jalisco;14031;Chimaltitán;6
Jalisco;14032;Chiquilistlán;10
Jalisco;14033;Degollado;39
Jalisco;14034;Ejutla;2
Jalisco;14035;Encarnación de Díaz;120
Jalisco;14036;Etzatlán;61
Jalisco;14037;El Grullo;106
Jalisco;14038;Guachinango;6
Jalisco;14039;Guadalajara;9323
Jalisco;14040;Hostotipaquillo;17
Jalisco;14041;Huejúcar;7
Jalisco;14042;Huejuquilla el Alto;16
Jalisco;14043;La Huerta;62
Jalisco;14044;Ixtlahuacán de los Membrillos;187
Jalisco;14045;Ixtlahuacán del Río;47
Jalisco;14046;Jalostotitlán;80
Jalisco;14047;Jamay;68
Jalisco;14048;Jesús María;39
Jalisco;14049;Jilotlán de los Dolores;3
Jalisco;14050;Jocotepec;144
Jalisco;14051;Juanacatlán;127
Jalisco;14052;Juchitlán;15
Jalisco;14053;Lagos de Moreno;721
Jalisco;14054;El Limón;8
Jalisco;14055;Magdalena;61
Jalisco;14056;Santa María del Oro;0
Jalisco;14057;La Manzanilla de la Paz;7
Jalisco;14058;Mascota;51
Jalisco;14059;Mazamitla;57
Jalisco;14060;Mexticacán;5
Jalisco;14061;Mezquitic;27
Jalisco;14062;Mixtlán;15
Jalisco;14063;Ocotlán;328
Jalisco;14064;Ojuelos de Jalisco;71
Jalisco;14065;Pihuamo;6
Jalisco;14066;Poncitlán;102
Jalisco;14067;Puerto Vallarta;1912
Jalisco;14068;Villa Purificación;16
Jalisco;14069;Quitupan;4
Jalisco;14070;El Salto;1353
Jalisco;14071;San Cristóbal de la Barranca;6
Jalisco;14072;San Diego de Alejandría;9
Jalisco;14073;San Juan de los Lagos;143
Jalisco;14074;San Julián;14
Jalisco;14075;San Marcos;14
Jalisco;14076;San Martín de Bolaños;3
Jalisco;14077;San Martín Hidalgo;90
Jalisco;14078;San Miguel el Alto;48
Jalisco;14079;Gómez Farías;102
Jalisco;14080;San Sebastián del Oeste;4
Jalisco;14081;Santa María de los Ángeles;6
Jalisco;14082;Sayula;108
Jalisco;14083;Tala;457
Jalisco;14084;Talpa de Allende;33
Jalisco;14085;Tamazula de Gordiano;76
Jalisco;14086;Tapalpa;42
Jalisco;14087;Tecalitlán;16
Jalisco;14088;Tecolotlán;57
Jalisco;14089;Techaluta de Montenegro;5
Jalisco;14090;Tenamaxtlán;15
Jalisco;14091;Teocaltiche;68
Jalisco;14092;Teocuitatlán de Corona;14
Jalisco;14093;Tepatitlán de Morelos;475
Jalisco;14094;Tequila;146
Jalisco;14095;Teuchitlán;35
Jalisco;14096;Tizapán el Alto;44
Jalisco;14097;Tlajomulco de Zúñiga;3417
Jalisco;14098;San Pedro Tlaquepaque;3627
Jalisco;14099;Tolimán;11
Jalisco;14100;Tomatlán;63
Jalisco;14101;Tonalá;2295
Jalisco;14102;Tonaya;8
Jalisco;14103;Tonila;22
Jalisco;14104;Totatiche;10
Jalisco;14105;Tototlán;65
Jalisco;14106;Tuxcacuesco;9
Jalisco;14107;Tuxcueca;15
Jalisco;14108;Tuxpan;77
Jalisco;14109;Unión de San Antonio;26
Jalisco;14110;Unión de Tula;51
Jalisco;14111;Valle de Guadalupe;22
Jalisco;14112;Valle de Juárez;12
Jalisco;14113;San Gabriel;36
Jalisco;14114;Villa Corona;30
Jalisco;14115;Villa Guerrero;9
Jalisco;14116;Villa Hidalgo;56
Jalisco;14117;Cañadas de Obregón;5
Jalisco;14118;Yahualica de González Gallo;46
Jalisco;14119;Zacoalco de Torres;98
Jalisco;14120;Zapopan;6126
Jalisco;14121;Zapotiltic;158
Jalisco;14122;Zapotitlán de Vadillo;10
Jalisco;14123;Zapotlán del Rey;35
Jalisco;14124;Zapotlanejo;289
Jalisco;14125;San Ignacio Cerro Gordo;29
Jalisco;14999;No especificado;0
México;15001;Acambay de Ruíz Castañeda;267
México;15002;Acolman;727
México;15003;Aculco;167
México;15004;Almoloya de Alquisiras;29
México;15005;Almoloya de Juárez;1009
México;15006;Almoloya del Río;77
México;15007;Amanalco;91
México;15008;Amatepec;26
México;15009;Amecameca;563
México;15010;Apaxco;167
México;15011;Atenco;438
México;15012;Atizapán;95
México;15013;Atizapán de Zaragoza;2869
México;15014;Atlacomulco;676
México;15015;Atlautla;109
México;15016;Axapusco;242
México;15017;Ayapango;67
