FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,RANGO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,DETENIDO,DET_SPM,MOT_DET,LESION_PR,LESION_AFE,CAT_SOSP,SEXO_AGRE,SEXO_AFECT,LESIONADO,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,GIRO_NEG,VEH_AFEC,OID,LONG,LAT
260034827,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-05,2,1,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,CALLE,MONTE DOBRA,0,NA,",,,",CALLE,FRANCISCO DE J HERRERA L,3,19,39,19:39,23,false,false,9,NINGUNA,ND,ND,0,0,0,0,0,10,ND,H,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,1,0,TAXI,"4488,NISSAN, MARCH, BLANCO",1,-102.25531888,21.94343011
260043395,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-07,2,3,1,FRACCIONAMIENTO,VILLAS DE LA CANTERA,546,546,AVENIDA,DEL CREPUSCULO,0,NA,",,,",CALLE,DEL ROCIO,2,5,58,05:58,26,false,false,9,NINGUNA,1 SUJETO,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,1,0,TAXI,"875,BLANCO",2,-102.33729831,21.85408554
260050013,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-08,2,4,1,FRACCIONAMIENTO,SAN MARCOS,148,148,CALLE,DEL PARQUE,0,NA,"328,,,",CALLE,PASEO DEL RIO,6,10,34,10:34,20,false,false,9,NINGUNA,1 SUJETO,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,1,0,TAXI,"216,BLANCO",3,-102.32317978,21.87944400
260073180,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-12,3,1,1,FRACCIONAMIENTO,CANTERAS DE SAN JOSE,547,547,CALLE,OCOTLAN,0,NA,",,,",CALLE,HUEJUCAR,2,4,48,04:48,26,false,false,9,NINGUNA,1 MUJER,ND,1,0,0,0,0,10,M,H,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,4,0,DIDI,"KIA, BLANCO",4,-102.33089287,21.85814862
260016513,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2026-01-02,1,5,5,FRACCIONAMIENTO,JACARANDAS,1054,1054,AVENIDA,CIRCUNVALACION A SOLIDARIDAD,0,NA,",,,",CALLE,AGUAS MADRES,7,23,55,23:55,24,false,true,1,CORTANTE,"2 MUJERES, 2 HOMBRES",ND,0,0,0,0,0,10,HM,H,1,false,0,N,N,28,DINERO,5100,5100,false,1,1,0,TAXI,1440,5,-102.33788949,21.95522135
260023060,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-03,1,6,1,FRACCIONAMIENTO,LAS HADAS,594,594,BOULEVARD,A ZACATECAS,0,NA,",,,",AVENIDA,AGLAYA,3,23,41,23:41,24,true,false,9,NINGUNA,1 MUJER,ND,1,0,0,0,0,10,M,M,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,4,0,TAXI,ND,6,-102.29220593,21.90798093
260084056,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2026-01-14,3,3,1,UNIDAD HABITACIONAL,POTREROS DEL OESTE,167,167,CALLE,PABLO GARCIA,0,NA,",,,",PROLONGACION,PASEO DE LA ASUNCION,2,10,10,10:10,20,false,true,1,CORTANTE,1 SUJETO ALTO MORENO TATUADO,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,"12,25","ROPA, LLANTA",0,0,false,1,1,0,TAXI,"CHEVROLET, AVEO, BLANCO, 600AA",7,-102.30148245,21.84197585
260089440,0,30406,ROBO EN TRANSPORTE PUBLICO,1,2026-01-15,3,4,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,634,CALLE,KALAMARIA,0,NA,",,,",AVENIDA,SAN ANTONIO,5,6,47,06:47,19,false,false,9,NINGUNA,1 SUJETO,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,36,PAGO CARRERA,95,95,false,1,1,0,TAXI,"276, NISSAN, VERSA, BLANCO",8,-102.26893081,21.81024056
260101534,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-17,3,6,1,CONJUNTO HABITACIONAL,VILLA TAURINA,390,390,AVENIDA,SIGLO XXI,0,NA,",,,",CALLE,ARROYO,5,3,36,03:36,26,false,false,9,NINGUNA,ND,ND,0,0,0,0,0,10,ND,M,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,1,0,UBER,ND,9,-102.24817273,21.86222091
260109514,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2026-01-18,3,7,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,PROLONGACION,CONSTITUCIONALISTA,0,NA,"402,,,",CALLE,MONTE PISSIS,3,9,15,09:15,20,false,true,3,CONTUSA,2 SUJETOS,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,36,PAGO CARRERA,0,0,false,1,1,0,UBER,"VOLKSWAGEN, VENTO, GRIS",10,-102.25782080,21.94342242
260125289,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2026-01-20,4,2,1,FRACCIONAMIENTO,EMILIANO ZAPATA,185,185,CALLE,MARIANO HIDALGO,0,NA,",,,",CALLE,JOSE GONZALEZ CARRILLO,5,19,34,19:34,23,false,false,4,FUEGO,"1 SUJETO SUDADERA ROJA CON CAPUCHA CACHUCHA OBSCURA PANTALON NEGRO TATUAJE EN EL CACHETE ALTO, MENOR 9 AÑOS",ND,0,0,0,0,0,10,H,H,0,false,0,N,N,29,CARTERA,0,0,false,1,1,0,PLATAFORMA,"RENAULT, KWID, ROJO, AEJ095F",11,-102.25538412,21.85140626
260157835,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2026-01-26,5,1,1,FRACCIONAMIENTO,INSURGENTES,161,161,CALLE,PEDRO ANTONIO SANTOS,0,NA,",,,",CALLE,LUIS MOYA,2,9,14,09:14,20,false,false,9,NINGUNA,1 SUJETO,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,36,PAGO CARRERA,57,57,false,1,1,0,TAXI,"1649, NISSAN, TUSURU, BLANCO",12,-102.31280499,21.84908545
