FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,RANGO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,DETENIDO,DET_SPM,MOT_DET,LESION_PR,LESION_AFE,CAT_SOSP,SEXO_AGRE,SEXO_AFECT,LESIONADO,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,GIRO_NEG,VEH_AFEC,OID,LONG,LAT
250065436,0,30424,ROBO EN TRANSPORTE PUBLICO,1,2025-01-11,2,6,1,FRACCIONAMIENTO,SAN FRANCISCO DE LOS ARTEAGA,337,337,AVENIDA,RAFALE MACIAS PEÑA,0,NA,",,,",AVENIDA,FLOR DE NOCHE BUENA,5,11,0,11:00,20,false,false,9,NINGUNA,ND,BD,0,0,0,0,0,10,H,H,0,false,0,N,N,3,CELULAR,0,0,false,1,1,0,TAXI 1649,ND,1,-102.27447640,21.82747219
250082953,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2025-01-13,3,1,1,FRACCIONAMIENTO,PRADOS DEL SUR,537,537,CALLE,COFRE DEL PEROTE,0,NA,"206,,,",CALLE,SARGENTO LUCIANO PONCE,2,23,59,23:59,24,false,true,1,CORTANTE,ND,ND,0,0,0,0,0,8,ND,H,0,false,0,ND,ND,"28,29","CARTERA, DINERO",1300,1300,false,1,1,0,TAXI,ND,2,-102.29746499,21.85651462
250088150,0,30426,ROBO EN TRANSPORTE PUBLICO,1,2025-01-15,3,3,1,UNIDAD HABITACIONAL,POTREROS DEL OESTE,167,167,ANDADOR,LAS NUBES,NA,NA,",,,",ANDADOR,LA AURORA,2,0,57,00:57,25,false,false,9,NINGUNA,2 HOMBRES,ND,0,N,N,0,0,0,H,H,0,false,0,N,N,3,celular,0,0,false,1,1,0,PLATAFORMA,BEAT AZUL,3,-102.30040724,21.84345080
250102495,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2025-01-17,3,5,1,FRACCIONAMIENTO,LOS PERICOS,287,287,CALLE,ND,NA,NA,",,,",CALLE,ND,4,0,0,sin datos,27,false,true,10,SIN DATOS,ND,ND,0,N,N,0,0,0,ND,H,0,false,0,ND,ND,ND,sin datos,0,0,false,1,1,0,TAXI,TAXI 2976 NISSAN TRUSU BLANCO,4,-102.24595925,21.90267319
250104524,0,30446,ROBO EN TRANSPORTE PUBLICO,1,2025-01-17,3,5,11,FRACCIONAMIENTO,LOS CEDROS,1302,1302,AVENIDA,JUAREZ SUR,NA,NA,",,,",CALLE,OTTO GRANADOS ROLDAN,7,20,50,20:50,23,false,false,9,NINGUNA,1 HOMBRE,EL TITO,0,N,N,0,0,8,H,H,0,false,0,N,ND,3,celular,0,0,false,1,28,0,UBER,ND,5,-102.27446828,22.06977918
250141618,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2025-01-23,4,4,5,COLONIA,MARAVILLAS,1109,1109,AVENIDA,INDEPENDENCIA,NA,NA,"601,,,",N,N,7,14,19,14:19,21,false,true,4,FUEGO,2 HOMBRES,ND,0,N,N,0,0,8,H,H,0,false,0,CAMIONETA,ESCAPE PLACAS TEXAS BLANCO,3,celular,0,13000,false,1,1,0,YOVOY,CAMION,6,-102.29625989,21.94990973
250152550,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2025-01-25,4,6,1,FRACCIONAMIENTO,LOMAS DE BELLAVISTA,415,415,CALLE,CASIA PONIENTE,NA,NA,",,,",AVENIDA,BELLAVISTA,3,7,5,07:05,19,false,true,1,CORTANTE,1 HOMBRE 1 MENOR,ND,0,N,N,0,0,0,H,H,0,false,0,N,N,"3,28","celular, dinero",600,0,false,1,1,0,TAXI,NUMERO 1669 BLANCO,7,-102.24170200,21.91831775
250157984,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2025-01-25,4,6,1,FRACCIONAMIENTO,INSURGENTES,161,161,CALLE,JUAN SARABIA,NA,NA,",,,",CALLE,GENERAL JULIAN MEDINA,2,23,30,23:30,24,false,true,1,CORTANTE,1 HOMBRE 1 MUJER,ND,0,N,N,0,0,8,A,H,0,false,0,N,N,"3,28,30","celular, dinero, llaves",500,500,false,1,1,0,DIDI,HYUNDAY PLACAS AEJ59E MOD. 2018 ROJO,8,-102.30294470,21.84690625
250145471,0,30425,ROBO EN TRANSPORTE PUBLICO,1,2025-01-24,4,5,1,COLONIA,NORIAS DEL PASO HONDO,656,656,CALLE,EMILIANO ZAPATA,0,NA,",,,",CALLE,ERNESTO CHE GUEVARA,4,3,39,03:39,26,false,true,1,CORTANTE,"2 SUJETOS SUDADERA VARIOS COLORES PANTALON AZUL MEZCLILLA TENIS BLANCOS 25 AÑOS APROX, SUDADERA BLANCA PANTALON DESLAVAD",ND,0,0,0,0,0,0,H,H,0,false,0,MOTOCICLETA,CROSS VERDE CON BLANCO,28,DINERO,450,450,false,1,1,1,TAXI 4261,"NISSAN, VERSA, BLANCO, A261AAK",9,-102.20548605,21.85868990
250207451,0,30426,ROBO EN TRANSPORTE PUBLICO,2,2025-02-02,5,7,1,FRACCIONAMIENTO,SOLIDARIDAD II,193,193,CALLE,XIHUNEL,0,NA,",,,",AVENIDA,SIGLO XXI,5,12,9,12:09,21,false,false,9,NINGUNA,2 SUJETOS,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,29,CARTERA,0,0,false,1,0,0,TAXI 1051,BLANCO,10,-102.24632923,21.86540265
